שם הארגון,סוג הארגון,תחום השירות העיקרי,Value
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,NA
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,ג'וינט אשל
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,משרד האוצר
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,TechBuddy
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,משרד הבריאות
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,משרד העבודה והרווחה
ג'וינט אשל,מלכר,אוריינות דיגיטלית,NA
ג'וינט אשל,מלכר,אוריינות דיגיטלית,ג'וינט אשל
ג'וני למברגר - יזם,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,NA
ג'וני למברגר - יזם,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,האגודה הישראלית לגרונטולוגיה
ג'וס פלאס - Juice Plus,חברה מסחרית - תחום עסקי אחר,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
גיא צפוני - אסטרטגיות קהילתיות,אחר:,אחר:,NA
גיא צפוני - אסטרטגיות קהילתיות,אחר:,אחר:,ג'וינט אשל
גיא צפוני - אסטרטגיות קהילתיות,עסק פרטי,אחר:,NA
גיא צפוני - אסטרטגיות קהילתיות,עסק פרטי,אחר:,ג'וינט אשל
גיל מהות,אחר:,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
גיל מהות,אחר:,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
גיל מהות,אחר:,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
גיל מהות,עסק פרטי,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
גיל מהות,עסק פרטי,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
גיל מהות,עסק פרטי,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
גילי גוטפריד,אחר:,בריאות הנפש,NA
גילי גוטפריד,אחר:,בריאות הנפש,ג'וינט אשל
גילי גוטפריד,עסק פרטי,בריאות הנפש,NA
גילי גוטפריד,עסק פרטי,בריאות הנפש,ג'וינט אשל
גלעד,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,NA
גלעד,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,ג'וינט אשל
"גלעד רמתי, משרד עורכי דין לתביעות ביטוח סיעודי",חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,בעלי בתי אבות ודיור
"גלעד רמתי, משרד עורכי דין לתביעות ביטוח סיעודי",חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,משרד הבריאות
"גלעד רמתי, משרד עורכי דין לתביעות ביטוח סיעודי",חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,משרד העבודה והרווחה
גני יעלים,אחר:,אחר:,NA
גני יעלים,אחר:,אחר:,מרכזי אפ 60 (ג'וינט אשל)
גני יעלים,עסק פרטי,אחר:,NA
גני יעלים,עסק פרטי,אחר:,מרכזי אפ 60 (ג'וינט אשל)
גרי שיימס,אחר:,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
גרי שיימס,עסק פרטי,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
גרנדיקס,סטארט אפ,אחר:,NA
גרנדיקס,סטארט אפ,אחר:,ג'וינט אשל
גרנדיקס,סטארט אפ,אחר:,גרונטולוגים (כללי)
"ד""ר רינת בן נון","יזם חברתי (שאינו תחת עמותה/ חל""צ)",נגישות לשירותים,NA
"דור בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,NA
"דור בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,איזי גל (חברת Amity)
דור לדור - עפולה,גרונטולוג,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
דור לדור - עפולה,גרונטולוג,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,גרונטולוגים (כללי)
דור לדור - עפולה,גרונטולוג,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,יזמים חברתיים (כללי)
דור לדור - עפולה,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,NA
דור לדור - עפולה,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,ג'וינט אשל
דור לדור - עפולה,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,משרד העבודה והרווחה
"דורות לקידום אוכלוסיה מבוגרת בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,NA
"דורות לקידום אוכלוסיה מבוגרת בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,המוסד לביטוח לאומי
"דורות לקידום אוכלוסיה מבוגרת בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,הרשויות המקומיות (כללי)
דורית להב - מתנדבת,מתעניין/ת בתחום,הפגת בדידות,ארגוני מתנדבים (כללי)
דורית להב - מתנדבת,מתעניין/ת בתחום,הפגת בדידות,הרשויות המקומיות (כללי)
דורית להב - מתנדבת,מתעניין/ת בתחום,הפגת בדידות,משרד העבודה והרווחה
דיאלוג יעוץ ארגוני מחקר והדרכה,חברה מסחרית - תחום עסקי אחר,אחר:,NA
דיאלוג יעוץ ארגוני מחקר והדרכה,חברה מסחרית - תחום עסקי אחר,אחר:,ג'וינט אשל
דירה להכיר,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
דירה להכיר,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,"ארגון ""יד שרה"""
דר נירית קרקובר הדרכה ויעוץ ארגוני,אחר:,אחר:,NA
דר נירית קרקובר הדרכה ויעוץ ארגוני,אחר:,אחר:,ג'וינט אשל
דר נירית קרקובר הדרכה ויעוץ ארגוני,עסק פרטי,אחר:,NA
דר נירית קרקובר הדרכה ויעוץ ארגוני,עסק פרטי,אחר:,ג'וינט אשל
האגודה לבריאות הציבור,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
האגודה לבריאות הציבור,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,האגודה לבריאות הציבור
האגודה לבריאות הציבור,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
האגודה לבריאות הציבור,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
האגודה למען הזקן בני ברק,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,NA
האגודה למען הזקן בני ברק,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,משרד העבודה והרווחה
האגף לשירותים חברתיים כפר יונה,רשות מקומית/מועצה איזורית,נגישות לשירותים,המוסד לביטוח לאומי
האגף לשירותים חברתיים כפר יונה,רשות מקומית/מועצה איזורית,נגישות לשירותים,משרד הבריאות
האגף לשירותים חברתיים כפר יונה,רשות מקומית/מועצה איזורית,נגישות לשירותים,משרד העבודה והרווחה
האוניברסיטה העברית - בית הספר לריפוי ועיסוק,מכון אקדמי/מחקר,אחר:,NA
האוניברסיטה העברית - בית הספר לריפוי ועיסוק,מכון אקדמי/מחקר,אחר:,ג'וינט אשל
הבית בסירקין,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
הבית בסירקין,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,אגף הגריאטריה במשרד הבריאות
הבית בסירקין,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,הרשויות המקומיות (כללי)
הדס צימרמן,מכון אקדמי/מחקר,הפגת בדידות,NA
הדס צימרמן,מכון אקדמי/מחקר,הפגת בדידות,ג'וינט אשל
הדס צימרמן,מכון אקדמי/מחקר,הפגת בדידות,המשרד לשוויון חברתי
הכוורת,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
הכוורת,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,משרד העבודה והרווחה
הכוורת,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,קרן מגדלי עזריאלי
המוסד לביטוח לאומי,משרד ממשלתי,אחר:,NA
המוסד לביטוח לאומי,משרד ממשלתי,אחר:,המוסד לביטוח לאומי
המוסד לביטוח לאומי,משרד ממשלתי,הפגת בדידות,NA
המוסד לביטוח לאומי,משרד ממשלתי,סיעוד,ג'וינט אשל
המוסד לביטוח לאומי,משרד ממשלתי,סיעוד,המוסד לביטוח לאומי
המוסד לביטוח לאומי,משרד ממשלתי,סיעוד,עמותות (כללי)
"המחלקה לטיפול באזרח הוותיק, אגף שח""ק, עירית כפר סבא",רשות מקומית/מועצה איזורית,סיעוד,אגף הגריאטריה במשרד הבריאות
"המחלקה לטיפול באזרח הוותיק, אגף שח""ק, עירית כפר סבא",רשות מקומית/מועצה איזורית,סיעוד,המוסד לביטוח לאומי
"המחלקה לטיפול באזרח הוותיק, אגף שח""ק, עירית כפר סבא",רשות מקומית/מועצה איזורית,סיעוד,חברות סטארט אפ (כללי)
המכון הלאומי לשיקום נירו פסכולוגי,"מגזר שלישי (עמותה רשומה/חל""צ)",שיקום,NA
המכללה האקדמית אורט בראודה,מכון אקדמי/מחקר,אחר:,NA
המכללה האקדמית עמק יזרעאל,מכון אקדמי/מחקר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
המכללה האקדמית עמק יזרעאל,מכון אקדמי/מחקר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
המכללה האקדמית עמק יזרעאל,מכון אקדמי/מחקר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,עמותת מטב
"המסלול האקדמי המכללה למנהל - בי""ס לעיצוב וחדשנות",מכון אקדמי/מחקר,הפגת בדידות,המשרד לשוויון חברתי
"המסלול האקדמי המכללה למנהל - בי""ס לעיצוב וחדשנות",מכון אקדמי/מחקר,הפגת בדידות,הרשויות המקומיות (כללי)
"המסלול האקדמי המכללה למנהל - בי""ס לעיצוב וחדשנות",מכון אקדמי/מחקר,הפגת בדידות,משרד העבודה והרווחה
המרחב לתיעוד חברתי ( בהקמה),"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
המרחב לתיעוד חברתי ( בהקמה),"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המרחב ליזמות 60+-
המרכז בבין תחומי הרצליה,מכון אקדמי/מחקר,אחר:,NA
המרכז הרפואי בני ציון,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
המרכז הרפואי בני ציון,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,אגף הגריאטריה במשרד הבריאות
המרכז הרפואי בני ציון,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,חוקרים בתחום הזקנה (כללי)
"המרכז לחרש-עיוור מכון בית דוד   נחל""ה נגישות חושית לגיל השלישי","מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,המוסד לביטוח לאומי
"המרכז לחרש-עיוור מכון בית דוד   נחל""ה נגישות חושית לגיל השלישי","מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,מרכזי יום לקשישים (כללי)
"המרכז לחרש-עיוור מכון בית דוד   נחל""ה נגישות חושית לגיל השלישי","מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,משרד העבודה והרווחה
המשרד לשוויון חברתי,משרד ממשלתי,אחר:,NA
המשרד לשוויון חברתי,משרד ממשלתי,אחר:,"מירב כהן, השרה לשוויון חברתי"
המשרד לשוויון חברתי,משרד ממשלתי,נגישות לשירותים,המוסד לביטוח לאומי
המשרד לשוויון חברתי,משרד ממשלתי,נגישות לשירותים,משרד העבודה והרווחה
המשרד לשוויון חברתי,משרד ממשלתי,נגישות לשירותים,קופות החולים (כללי)
העמותה לאומנות בקהילה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
העמותה לאומנות בקהילה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
העמותה לחבר הוותיק,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
העמותה לחבר הוותיק,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
העמותה למען הקשיש בשפרעם,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,אגף הגריאטריה במשרד הבריאות
העמותה למען הקשיש בשפרעם,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
העמותה למען הקשיש בשפרעם,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,המוסד לביטוח לאומי
העמותה לקידום החינוך בתל אביב יפו,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
העמותה לקידום החינוך בתל אביב יפו,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,חברת תיגבור סיעוד
העמותה לקידום החינוך בתל אביב יפו,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,עמותת מטב
הפורום הישראלי לעירוניות והטכניון,אחר:,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
הפורום הישראלי לעירוניות והטכניון,אחר:,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
הפורום הישראלי לעירוניות והטכניון,מתכננת ערים,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
הפורום הישראלי לעירוניות והטכניון,מתכננת ערים,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
הפרלמנט השלישי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,NA
הפרלמנט השלישי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,עמותת עמדא
הקבוצה ביפו,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
הקבוצה ביפו,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,עיריית תל אביב
הקבוצה ביפו,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
הקבוצה ביפו,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,אגף הגריאטריה במשרד הבריאות
הקבוצה ביפו,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,המשרד לשוויון חברתי
"הקליניקה לזכויות ניצולי שואה ואנשים בזקנה, אוניברסיטת תל אביב","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
"הקליניקה לזכויות ניצולי שואה ואנשים בזקנה, אוניברסיטת תל אביב","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,אגף הגריאטריה במשרד הבריאות
"הקליניקה לזכויות ניצולי שואה ואנשים בזקנה, אוניברסיטת תל אביב","מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,המשרד לשוויון חברתי
"הקליניקה לזכויות ניצולי שואה ואנשים בזקנה, אוניברסיטת תל אביב",קליניקה משפטית במוסד אקדמי,אחר:,NA
"הקליניקה לזכויות ניצולי שואה ואנשים בזקנה, אוניברסיטת תל אביב",קליניקה משפטית במוסד אקדמי,אחר:,אגף הגריאטריה במשרד הבריאות
"הקליניקה לזכויות ניצולי שואה ואנשים בזקנה, אוניברסיטת תל אביב",קליניקה משפטית במוסד אקדמי,אחר:,המשרד לשוויון חברתי
הקרן לרווחת ניצולי השואה,"מגזר שלישי (עמותה רשומה/חל""צ)",ניצולי שואה,ג'וינט אשל
הקרן לרווחת ניצולי השואה,"מגזר שלישי (עמותה רשומה/חל""צ)",ניצולי שואה,הרשויות המקומיות (כללי)
הקרן לרווחת ניצולי השואה,"מגזר שלישי (עמותה רשומה/חל""צ)",ניצולי שואה,משרדי הממשלה (כללי)
התאגדות חינוך מבוגרים בישראל,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
התאגדות חינוך מבוגרים בישראל,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,המשרד לשוויון חברתי
התנועה המסורתית,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,NA
התנועה המסורתית,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,ג'וינט אשל
התנועה המסורתית,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,עמותת מטב
והדרת הכוח השלישי,גרונטולוג,הפגת בדידות,אגף הגריאטריה במשרד הבריאות
והדרת הכוח השלישי,גרונטולוג,הפגת בדידות,המשרד לשוויון חברתי
והדרת הכוח השלישי,גרונטולוג,הפגת בדידות,עמותת מטב
והדרת הכוח השלישי,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,NA
והדרת הכוח השלישי,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,ג'וינט אשל
והדרת הכוח השלישי,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,המשרד לשוויון חברתי
והדרת הכוח השלישי,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,והדרת הכוח השלישי
והדרת הכוח השלישי,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,חברות סטארט אפ (כללי)
והדרת הכוח השלישי,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,מעסיקים (כללי)
והדרת הכוח השלישי,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,מפלגות פוליטיות (כללי)
והדרת הכוח השלישי,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,משרדי הממשלה (כללי)
והדרת הכוח השלישי,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,עמותות (כללי)
והדרת הכוח השלישי,משרד ממשלתי,הפגת בדידות,NA
והדרת הכוח השלישי,משרד ממשלתי,הפגת בדידות,אגף הגריאטריה במשרד הבריאות
והדרת פני זקן - המשרד לשוויון חברתי ועמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
והדרת פני זקן - המשרד לשוויון חברתי ועמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,אגף הגריאטריה במשרד הבריאות
והדרת פני זקן - המשרד לשוויון חברתי ועמותת מטב,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,המשרד לשוויון חברתי
ורד ווילק - מרפא בעיסוק בבית אבות,חברה מסחרית - בתי אבות,סיעוד,NA
ורד ווילק - מרפא בעיסוק בבית אבות,חברה מסחרית - בתי אבות,סיעוד,ג'וינט אשל
זוהר פרופר ייעוץ ארגוני והנחיית קבוצות,אחר:,הפגת בדידות,ג'וינט אשל
זוהר פרופר ייעוץ ארגוני והנחיית קבוצות,אחר:,הפגת בדידות,המשרד לשוויון חברתי
זוהר פרופר ייעוץ ארגוני והנחיית קבוצות,מנחת קבוצות לגיל שלישי,הפגת בדידות,ג'וינט אשל
זוהר פרופר ייעוץ ארגוני והנחיית קבוצות,מנחת קבוצות לגיל שלישי,הפגת בדידות,המשרד לשוויון חברתי
חברה hugsen טכנולוגיה בעמ,חברה מסחרית - תחום עסקי אחר,מניעת נפילות,NA
חברה hugsen טכנולוגיה בעמ,חברה מסחרית - תחום עסקי אחר,מניעת נפילות,חברות טכנולוגיה (כללי)
חברה כלכלית לאזרחים ותיקים,חברה מסחרית - תחום עסקי אחר,אוריינות דיגיטלית,NA
חברה כלכלית לאזרחים ותיקים,חברה מסחרית - תחום עסקי אחר,אוריינות דיגיטלית,ותיקים למען ותיקים
חברת paychecker - מיזם מלאך הזכויות החברתיות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,ג'וינט אשל
חברת paychecker - מיזם מלאך הזכויות החברתיות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,המוסד לביטוח לאומי
חברת paychecker - מיזם מלאך הזכויות החברתיות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,המשרד לשוויון חברתי
חברת אורידיון מדיקל,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
חברת בזר,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המוסד לביטוח לאומי
חברת בזר,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,לשכות הרווחה ברשויות המקומיות (כללי)
חברת בזר,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,עמותות (כללי)
חברת המשקם,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,NA
חברת המשקם,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,המשרד לשוויון חברתי
חברת המשקם,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,משרד העבודה והרווחה
"חברת יתרב - חברה לשירות סיעוד ורווחה בע""מ",חברה מסחרית - תחום עסקי אחר,סיעוד,אגף הגריאטריה במשרד הבריאות
"חברת יתרב - חברה לשירות סיעוד ורווחה בע""מ",חברה מסחרית - תחום עסקי אחר,סיעוד,המוסד לביטוח לאומי
"חברת יתרב - חברה לשירות סיעוד ורווחה בע""מ",חברה מסחרית - תחום עסקי אחר,סיעוד,חברות סטארט אפ (כללי)
"חברת יתרב - חברה לשירות סיעוד ורווחה בע""מ",חברת סיעוד,סיעוד,אגף הגריאטריה במשרד הבריאות
"חברת יתרב - חברה לשירות סיעוד ורווחה בע""מ",חברת סיעוד,סיעוד,המוסד לביטוח לאומי
"חברת יתרב - חברה לשירות סיעוד ורווחה בע""מ",חברת סיעוד,סיעוד,חברות סטארט אפ (כללי)
חברת מעברים ומשאבים,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
חברת מעברים ומשאבים,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
חברת מעברים ומשאבים,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
חברת פרטנר,חברה מסחרית - תחום עסקי אחר,אחר:,NA
חברת פרטנר,חברה מסחרית - תחום עסקי אחר,אחר:,"מרכז יום לקשיש ""כפר שלם"""
חברת פרטנר,חברה מסחרית - תחום עסקי אחר,אחר:,ציונות 2000
חברת תיגבור סיעוד,אחר:,סיעוד,NA
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,אחר:,ג'וינט אשל
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,אחר:,המוסד לביטוח לאומי
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,אחר:,משרד העבודה והרווחה
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,סיעוד,NA
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,סיעוד,אגף הגריאטריה במשרד הבריאות
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,סיעוד,אופירה שהם (תיגבור)
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,סיעוד,ג'וינט אשל
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,סיעוד,"ד""ר יעל בנבנישתי"
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,סיעוד,הרשויות המקומיות (כללי)
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,סיעוד,משרד העבודה והרווחה
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,סיעוד,שרון אומשוויף (תיגבור)
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,תעסוקה,NA
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,תעסוקה,ג'וינט אשל
חברת תיגבור סיעוד,חברה מסחרית - תחום עסקי אחר,תעסוקה,חברת תיגבור סיעוד
חברת תיגבור סיעוד,חברה פרטית,סיעוד,NA
חברת תיגבור סיעוד,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,NA
חברת תיגבור סיעוד,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,ג'וינט אשל
חדר משלך בסלולרי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:, מ.ת.ג - מחברים תוכן לגמלאים
חדר משלך בסלולרי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
חדר משלך בסלולרי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה, מ.ת.ג - מחברים תוכן לגמלאים
חדר משלך בסלולרי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
חיבוק מכל ילד,סטארט אפ,הפגת בדידות,NA
חיבורים 2080,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,NA
חיבורים 2080,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,חיבורים 2080
טבע,חברה מסחרית - תחום עסקי אחר,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,המוסד לביטוח לאומי
טבע,חברה מסחרית - תחום עסקי אחר,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,המשרד לשוויון חברתי
טבע,חברה מסחרית - תחום עסקי אחר,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,משרד העבודה והרווחה
טבע,מגזר עיסקי,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,המוסד לביטוח לאומי
טבע,מגזר עיסקי,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,המשרד לשוויון חברתי
טבע,מגזר עיסקי,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,משרד העבודה והרווחה
טיפול באמצעות אומנויות בגיל השלישי (פרטי),אחר:,ירידה קוגנטיבית ודמנציה,NA
טיפול באמצעות אומנויות בגיל השלישי (פרטי),אחר:,ירידה קוגנטיבית ודמנציה,המשרד לשוויון חברתי
